Plot_seq;Var;Seed_ID;Row;Range;Treatment;Row_in_Field;Rep;Category;Trial;Year;Full_rank;Experimental_Unit
187_INNOV_22;LG Skyscraper;78;19;4;Opt;25;3;Maritime North;Innovar;2022;TRUE;Innovar
188_INNOV_22;Molinera;80;19;3;Opt;25;3;Site specific;Innovar;2022;TRUE;Innovar
189_INNOV_22;Grafton;75;19;2;Opt;25;3;Maritime North;Innovar;2022;TRUE;Innovar
19_INNOV_22;Skyfall;90;2;9;Min;2;1;Control;Innovar;2022;TRUE;Innovar
19_Inv22;Montalbano;34;2;5;Treated;41;rep2;Fill;Invite6.1;2022;TRUE;Invite6.1
190_INNOV_22;Poncione;83;19;1;Opt;25;3;Site specific;Innovar;2022;TRUE;Innovar
191_INNOV_22;Simano;88;20;1;Opt;26;3;Site specific;Innovar;2022;TRUE;Innovar
192_INNOV_22;Skyfall;90;20;2;Opt;26;3;Control;Innovar;2022;TRUE;Innovar
193_INNOV_22;CH-Claro;69;20;3;Opt;26;3;Site specific;Innovar;2022;TRUE;Innovar
194_INNOV_22;Titlis;91;20;4;Opt;26;3;Site specific;Innovar;2022;TRUE;Innovar
195_INNOV_22;Nogal;93;20;5;Opt;26;3;Control;Innovar;2022;TRUE;Innovar
196_INNOV_22;Sahara;86;20;6;Opt;26;3;Site specific;Innovar;2022;TRUE;Innovar
197_INNOV_22;RGT Reform;84;20;7;Opt;26;3;Maritime North;Innovar;2022;TRUE;Innovar
198_INNOV_22;Bologna;66;20;8;Opt;26;3;Control;Innovar;2022;TRUE;Innovar
199_INNOV_22;CH-Camedo;68;20;9;Opt;26;3;Site specific;Innovar;2022;TRUE;Innovar
2_INNOV_22;Sahara;86;1;9;Min;1;1;Site specific;Innovar;2022;TRUE;Innovar
2_Inv22;Costello;29;1;9;Treated;40;rep1;Fill;Invite6.1;2022;TRUE;Invite6.1
20_INNOV_22;Molinera;80;2;10;Min;2;1;Site specific;Innovar;2022;TRUE;Innovar
20_Inv22;Aurelius;25;2;6;Treated;41;rep2;Fill;Invite6.1;2022;TRUE;Invite6.1
200_INNOV_22;Evolution;73;20;10;Opt;26;3;Maritime North;Innovar;2022;TRUE;Innovar
201_INNOV_22;Montalto;82;21;10;Opt;27;3;Site specific;Innovar;2022;TRUE;Innovar
202_INNOV_22;Cougar;72;21;9;Opt;27;3;Site specific;Innovar;2022;TRUE;Innovar
203_INNOV_22;Skagen;89;21;8;Opt;27;3;Control;Innovar;2022;TRUE;Innovar
204_INNOV_22;Baretta;65;21;7;Opt;27;3;Site specific;Innovar;2022;TRUE;Innovar
205_INNOV_22;LG Sundance;79;21;6;Opt;27;3;Maritime North;Innovar;2022;TRUE;Innovar
206_INNOV_22;Cosmic;70;21;5;Opt;27;3;Control;Innovar;2022;TRUE;Innovar
207_INNOV_22;KWS Extase;76;21;4;Opt;27;3;Maritime North;Innovar;2022;TRUE;Innovar
208_INNOV_22;Wiwa;92;21;3;Opt;27;3;Site specific;Innovar;2022;TRUE;Innovar
209_INNOV_22;KWS Trinity;77;21;2;Opt;27;3;Maritime North;Innovar;2022;TRUE;Innovar
21_INNOV_22;RGT Reform;84;3;10;Min;3;1;Maritime North;Innovar;2022;TRUE;Innovar
21_Inv22;Mv Nador;35;2;7;Treated;41;rep1;Fill;Invite6.1;2022;TRUE;Invite6.1
210_INNOV_22;Runal;85;21;1;Opt;27;3;Site specific;Innovar;2022;TRUE;Innovar
211_INNOV_22;Skyfall;90;22;1;Ful;29;3;Control;Innovar;2022;TRUE;Innovar
212_INNOV_22;RGT Reform;84;22;2;Ful;29;3;Maritime North;Innovar;2022;TRUE;Innovar
213_INNOV_22;Evolution;73;22;3;Ful;29;3;Maritime North;Innovar;2022;TRUE;Innovar
214_INNOV_22;Titlis;91;22;4;Ful;29;3;Site specific;Innovar;2022;TRUE;Innovar
215_INNOV_22;Costello;71;22;5;Ful;29;3;Control;Innovar;2022;TRUE;Innovar
216_INNOV_22;Wiwa;92;22;6;Ful;29;3;Site specific;Innovar;2022;TRUE;Innovar
217_INNOV_22;Grafton;75;22;7;Ful;29;3;Maritime North;Innovar;2022;TRUE;Innovar
218_INNOV_22;CH-Claro;69;22;8;Ful;29;3;Site specific;Innovar;2022;TRUE;Innovar
219_INNOV_22;Montalto;82;22;9;Ful;29;3;Site specific;Innovar;2022;TRUE;Innovar
22_INNOV_22;Simano;88;3;9;Min;3;1;Site specific;Innovar;2022;TRUE;Innovar
22_Inv22;RGT Reform ;37;2;8;Treated;41;rep1;Fill;Invite6.1;2022;TRUE;Invite6.1
220_INNOV_22;Altigo;64;22;10;Ful;29;3;Control;Innovar;2022;TRUE;Innovar
221_INNOV_22;KWS Trinity;77;23;10;Ful;30;3;Maritime North;Innovar;2022;TRUE;Innovar
222_INNOV_22;Shabras;87;23;9;Ful;30;3;Maritime North;Innovar;2022;TRUE;Innovar
223_INNOV_22;Baretta;65;23;8;Ful;30;3;Site specific;Innovar;2022;TRUE;Innovar
224_INNOV_22;Skagen;89;23;7;Ful;30;3;Control;Innovar;2022;TRUE;Innovar
225_INNOV_22;Poncione;83;23;6;Ful;30;3;Site specific;Innovar;2022;TRUE;Innovar
226_INNOV_22;GK Szilard;74;23;5;Ful;30;3;Control;Innovar;2022;TRUE;Innovar
227_INNOV_22;Nogal;93;23;4;Ful;30;3;Control;Innovar;2022;TRUE;Innovar
228_INNOV_22;CH-Camedo;68;23;3;Ful;30;3;Site specific;Innovar;2022;TRUE;Innovar
229_INNOV_22;Cougar;72;23;2;Ful;30;3;Site specific;Innovar;2022;TRUE;Innovar
23_INNOV_22;LG Skyscraper;78;3;8;Min;3;1;Maritime North;Innovar;2022;TRUE;Innovar
23_Inv22;Aurelius;25;2;9;Treated;41;rep1;Fill;Invite6.1;2022;TRUE;Invite6.1
230_INNOV_22;Cosmic;70;23;1;Ful;30;3;Control;Innovar;2022;TRUE;Innovar
231_INNOV_22;Simano;88;24;1;Ful;31;3;Site specific;Innovar;2022;TRUE;Innovar
232_INNOV_22;Molinera;80;24;2;Ful;31;3;Site specific;Innovar;2022;TRUE;Innovar
233_INNOV_22;Montalbano;81;24;3;Ful;31;3;Maritime North;Innovar;2022;TRUE;Innovar
234_INNOV_22;Bologna;66;24;4;Ful;31;3;Control;Innovar;2022;TRUE;Innovar
235_INNOV_22;LG Sundance;79;24;5;Ful;31;3;Maritime North;Innovar;2022;TRUE;Innovar
236_INNOV_22;LG Skyscraper;78;24;6;Ful;31;3;Maritime North;Innovar;2022;TRUE;Innovar
237_INNOV_22;KWS Extase;76;24;7;Ful;31;3;Maritime North;Innovar;2022;TRUE;Innovar
238_INNOV_22;CH Nara;67;24;8;Ful;31;3;Maritime North;Innovar;2022;TRUE;Innovar
239_INNOV_22;Runal;85;24;9;Ful;31;3;Site specific;Innovar;2022;TRUE;Innovar
24_INNOV_22;Skagen;89;3;7;Min;3;1;Control;Innovar;2022;TRUE;Innovar
24_Inv22;Chevignon;28;2;10;Treated;41;rep1;Fill;Invite6.1;2022;TRUE;Invite6.1
240_INNOV_22;Sahara;86;24;10;Ful;31;3;Site specific;Innovar;2022;TRUE;Innovar
241_INNOV_22;Sahara;86;25;10;Min;33;3;Site specific;Innovar;2022;TRUE;Innovar
242_INNOV_22;Poncione;83;25;9;Min;33;3;Site specific;Innovar;2022;TRUE;Innovar
243_INNOV_22;Costello;71;25;8;Min;33;3;Control;Innovar;2022;TRUE;Innovar
244_INNOV_22;Simano;88;25;7;Min;33;3;Site specific;Innovar;2022;TRUE;Innovar
245_INNOV_22;Evolution;73;25;6;Min;33;3;Maritime North;Innovar;2022;TRUE;Innovar
246_INNOV_22;Montalto;82;25;5;Min;33;3;Site specific;Innovar;2022;TRUE;Innovar
247_INNOV_22;Shabras;87;25;4;Min;33;3;Maritime North;Innovar;2022;TRUE;Innovar
248_INNOV_22;Baretta;65;25;3;Min;33;3;Site specific;Innovar;2022;TRUE;Innovar
249_INNOV_22;CH-Camedo;68;25;2;Min;33;3;Site specific;Innovar;2022;TRUE;Innovar
25_INNOV_22;CH Nara;67;3;6;Min;3;1;Maritime North;Innovar;2022;TRUE;Innovar
25_Inv22;Julie;32;3;10;Treated;42;rep1;Fill;Invite6.1;2022;TRUE;Invite6.1
250_INNOV_22;Altigo;64;25;1;Min;33;3;Control;Innovar;2022;TRUE;Innovar
251_INNOV_22;KWS Trinity;77;26;1;Min;34;3;Maritime North;Innovar;2022;TRUE;Innovar
252_INNOV_22;Grafton;75;26;2;Min;34;3;Maritime North;Innovar;2022;TRUE;Innovar
253_INNOV_22;Cougar;72;26;3;Min;34;3;Site specific;Innovar;2022;TRUE;Innovar
254_INNOV_22;Nogal;93;26;4;Min;34;3;Control;Innovar;2022;TRUE;Innovar
255_INNOV_22;Skagen;89;26;5;Min;34;3;Control;Innovar;2022;TRUE;Innovar
256_INNOV_22;CH Nara;67;26;6;Min;34;3;Maritime North;Innovar;2022;TRUE;Innovar
257_INNOV_22;Runal;85;26;7;Min;34;3;Site specific;Innovar;2022;TRUE;Innovar
258_INNOV_22;KWS Extase;76;26;8;Min;34;3;Maritime North;Innovar;2022;TRUE;Innovar
259_INNOV_22;RGT Reform;84;26;9;Min;34;3;Maritime North;Innovar;2022;TRUE;Innovar
26_INNOV_22;CH-Camedo;68;3;5;Min;3;1;Site specific;Innovar;2022;TRUE;Innovar
26_Inv22;Bernstein;26;3;9;Treated;42;rep1;Fill;Invite6.1;2022;TRUE;Invite6.1
260_INNOV_22;LG Sundance;79;26;10;Min;34;3;Maritime North;Innovar;2022;TRUE;Innovar
261_INNOV_22;Cosmic;70;27;10;Min;35;3;Control;Innovar;2022;TRUE;Innovar
262_INNOV_22;Molinera;80;27;9;Min;35;3;Site specific;Innovar;2022;TRUE;Innovar
263_INNOV_22;CH-Claro;69;27;8;Min;35;3;Site specific;Innovar;2022;TRUE;Innovar
264_INNOV_22;Wiwa;92;27;7;Min;35;3;Site specific;Innovar;2022;TRUE;Innovar
265_INNOV_22;Skyfall;90;27;6;Min;35;3;Control;Innovar;2022;TRUE;Innovar
266_INNOV_22;Bologna;66;27;5;Min;35;3;Control;Innovar;2022;TRUE;Innovar
267_INNOV_22;Titlis;91;27;4;Min;35;3;Site specific;Innovar;2022;TRUE;Innovar
268_INNOV_22;Montalbano;81;27;3;Min;35;3;Maritime North;Innovar;2022;TRUE;Innovar
269_INNOV_22;GK Szilard;74;27;2;Min;35;3;Control;Innovar;2022;TRUE;Innovar
27_INNOV_22;Cougar;72;3;4;Min;3;1;Site specific;Innovar;2022;TRUE;Innovar
27_Inv22;Altigo;24;3;8;Treated;42;rep1;Fill;Invite6.1;2022;TRUE;Invite6.1
270_INNOV_22;LG Skyscraper;78;27;1;Min;35;3;Maritime North;Innovar;2022;TRUE;Innovar
28_INNOV_22;Bologna;66;3;3;Min;3;1;Control;Innovar;2022;TRUE;Innovar
28_Inv22;LG Absalon;33;3;7;Treated;42;rep1;Fill;Invite6.1;2022;TRUE;Invite6.1
29_INNOV_22;CH-Claro;69;3;2;Min;3;1;Site specific;Innovar;2022;TRUE;Innovar
29_Inv22;Mv Nador;35;3;6;Treated;42;rep2;Fill;Invite6.1;2022;TRUE;Invite6.1
3_INNOV_22;Costello;71;1;8;Min;1;1;Control;Innovar;2022;TRUE;Innovar
3_Inv22;Skyfall;38;1;8;Treated;40;rep1;Fill;Invite6.1;2022;TRUE;Invite6.1
30_INNOV_22;Titlis;91;3;1;Min;3;1;Site specific;Innovar;2022;TRUE;Innovar
30_Inv22;Chevignon;28;3;5;Treated;42;rep2;Fill;Invite6.1;2022;TRUE;Invite6.1
31_INNOV_22;CH-Claro;69;4;1;Opt;5;1;Site specific;Innovar;2022;TRUE;Innovar
31_Inv22;Skyfall;38;3;4;Treated;42;rep2;Fill;Invite6.1;2022;TRUE;Invite6.1
32_INNOV_22;Costello;71;4;2;Opt;5;1;Control;Innovar;2022;TRUE;Innovar
32_Inv22;Nogal;36;3;3;Treated;42;rep2;Fill;Invite6.1;2022;TRUE;Invite6.1
33_INNOV_22;Poncione;83;4;3;Opt;5;1;Site specific;Innovar;2022;TRUE;Innovar
33_Inv22;Dagmar;30;3;2;Treated;42;rep3;Fill;Invite6.1;2022;TRUE;Invite6.1
34_INNOV_22;CH Nara;67;4;4;Opt;5;1;Maritime North;Innovar;2022;TRUE;Innovar
34_Inv22;Aurelius;25;3;1;Treated;42;rep3;Fill;Invite6.1;2022;TRUE;Invite6.1
35_INNOV_22;Titlis;91;4;5;Opt;5;1;Site specific;Innovar;2022;TRUE;Innovar
35_Inv22;Altigo;24;3;0;Treated;42;rep3;Fill;Invite6.1;2022;TRUE;Invite6.1
36_INNOV_22;Montalbano;81;4;6;Opt;5;1;Maritime North;Innovar;2022;TRUE;Innovar
36_Inv22;Chevignon;28;3;-1;Treated;42;rep3;Fill;Invite6.1;2022;FALSE;Invite6.1
37_INNOV_22;GK Szilard;74;4;7;Opt;5;1;Control;Innovar;2022;TRUE;Innovar
37_Inv22;GK Szil˜rd;31;4;-1;Treated;43;rep3;Fill;Invite6.1;2022;FALSE;Invite6.1
38_INNOV_22;Bologna;66;4;8;Opt;5;1;Control;Innovar;2022;TRUE;Innovar
38_Inv22;Mv Nador;35;4;0;Treated;43;rep3;Fill;Invite6.1;2022;TRUE;Invite6.1
39_INNOV_22;Montalto;82;4;9;Opt;5;1;Site specific;Innovar;2022;TRUE;Innovar
39_Inv22;Skyfall;38;4;1;Treated;43;rep3;Fill;Invite6.1;2022;TRUE;Invite6.1
4_INNOV_22;KWS Trinity;77;1;7;Min;1;1;Maritime North;Innovar;2022;TRUE;Innovar
4_Inv22;GK Szil˜rd;31;1;7;Treated;40;rep1;Fill;Invite6.1;2022;TRUE;Invite6.1
40_INNOV_22;Shabras;87;4;10;Opt;5;1;Maritime North;Innovar;2022;TRUE;Innovar
40_Inv22;Bernstein;26;4;2;Treated;43;rep3;Fill;Invite6.1;2022;TRUE;Invite6.1
41_INNOV_22;Molinera;80;5;10;Opt;6;1;Site specific;Innovar;2022;TRUE;Innovar
41_Inv22;RGT Reform ;37;4;3;Treated;43;rep2;Fill;Invite6.1;2022;TRUE;Invite6.1
42_INNOV_22;Cosmic;70;5;9;Opt;6;1;Control;Innovar;2022;TRUE;Innovar
42_Inv22;LG Absalon;33;4;4;Treated;43;rep2;Fill;Invite6.1;2022;TRUE;Invite6.1
43_INNOV_22;KWS Trinity;77;5;8;Opt;6;1;Maritime North;Innovar;2022;TRUE;Innovar
43_Inv22;Costello;29;4;5;Treated;43;rep2;Fill;Invite6.1;2022;TRUE;Invite6.1
44_INNOV_22;Skyfall;90;5;7;Opt;6;1;Control;Innovar;2022;TRUE;Innovar
44_Inv22;Julie;32;4;6;Treated;43;rep2;Fill;Invite6.1;2022;TRUE;Invite6.1
45_INNOV_22;Grafton;75;5;6;Opt;6;1;Maritime North;Innovar;2022;TRUE;Innovar
45_Inv22;Montalbano;34;4;7;Treated;43;rep1;Fill;Invite6.1;2022;TRUE;Invite6.1
46_INNOV_22;RGT Reform;84;5;5;Opt;6;1;Maritime North;Innovar;2022;TRUE;Innovar
46_Inv22;Tenor;39;4;8;Treated;43;rep1;Fill;Invite6.1;2022;TRUE;Invite6.1
47_INNOV_22;KWS Extase;76;5;4;Opt;6;1;Maritime North;Innovar;2022;TRUE;Innovar
47_Inv22;Nogal;36;4;9;Treated;43;rep1;Fill;Invite6.1;2022;TRUE;Invite6.1
48_INNOV_22;LG Skyscraper;78;5;3;Opt;6;1;Maritime North;Innovar;2022;TRUE;Innovar
48_Inv22;Bologna;27;4;10;Treated;43;rep1;Fill;Invite6.1;2022;TRUE;Invite6.1
49_INNOV_22;Sahara;86;5;2;Opt;6;1;Site specific;Innovar;2022;TRUE;Innovar
49_Inv22;Ehogold;16;5;10;Treated;44;rep1;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
5_INNOV_22;LG Sundance;79;1;6;Min;1;1;Maritime North;Innovar;2022;TRUE;Innovar
5_Inv22;Tenor;39;1;6;Treated;40;rep2;Fill;Invite6.1;2022;TRUE;Invite6.1
50_INNOV_22;Cougar;72;5;1;Opt;6;1;Site specific;Innovar;2022;TRUE;Innovar
50_Inv22;Nara;Tp Nara;5;9;Treated;44;rep1;Fill;Fill;2022;TRUE;Invite5.3Conv
51_INNOV_22;Nogal;93;6;1;Opt;7;1;Control;Innovar;2022;TRUE;Innovar
51_Inv22;Nara;Tp Nara;5;8;Treated;44;rep1;Fill;Fill;2022;TRUE;Invite5.3Conv
52_INNOV_22;Wiwa;92;6;2;Opt;7;1;Site specific;Innovar;2022;TRUE;Innovar
